feature,mean,sd
pct_hispanic,3.5080049643189573,8.346155033439942
pct_black,2.984858827179646,14.858604567630065
pct_asian,2.141576171269004,3.5548410787839106
pct_foreign_born,0.8867204467887062,0.8769600777732713
median_hh_income,-348685.7877753646,16603854.547018815
pct_poverty,14.983183369531492,7.62432354261282
pop_density,295.705680057897,1794.6344004813623
rep_vote_share_2024,0.6801620946096945,0.15548689383889927
crime_rate_per_100k,448.01492996564343,1165.2660175824576
lag_1m,13.18661012858965,115.94145941800085
lag_3m,34.96752508015307,292.19985702219606
lag_6m,58.280415072223946,486.80067094506524
