fips,random_intercept
01001,-0.06193501060639759
01003,2.0198236428848126
01005,-0.92428892777521
01007,-0.5184861843111658
01009,0.8271092568238337
01011,-1.3574347322848697
01013,-1.1361449435952033
01015,0.9293471907222958
01017,-0.952111128819019
01019,-0.278514322513778
01021,-0.5727782114782392
01023,-0.6531152268152248
01025,0.022486412265176312
01027,-0.2886784960596375
01029,-0.26058859487989017
01031,-0.9242775841628517
01033,-0.7436627018139728
01035,-0.8150791193104635
01037,-0.5695266603084747
01039,-0.6259701217327895
01041,-0.6185271659325337
01043,0.9691989109857901
01045,0.5921128552841536
01047,-1.327166309733449
01049,-0.37881533177476767
01051,0.0793933440179238
01053,-0.8805666124963587
01055,-0.663436260708478
01057,-0.24421729324989486
01059,0.8856672944984777
01061,-0.6552472544660186
01063,-1.621035490085597
01065,-1.2496687653889458
01067,-1.0568795713506478
01069,-1.0793198043984635
01071,0.8610823221193961
01073,1.3069668102630279
01075,-0.28092905898983606
01077,-0.7619883970373882
01079,0.4358033386557758
01081,0.5655172569259251
01083,-1.0206663789981756
01085,-0.7494170245796837
01087,-1.4639867395598838
01089,1.2234255313325049
01091,-0.9818403216800591
01093,-0.2281328608894009
01095,0.7940230333909257
01097,0.6021325983087684
01099,-0.8692692299446643
01101,0.2147588595846557
01103,0.248313656300072
01105,-1.1235919357240545
01107,-0.8967258074126425
01109,-0.07424892330549271
01111,-0.3048858412921503
01113,-1.4082582856488906
01115,0.4422342865551869
01117,-0.21960712879682193
01119,-1.21360851611756
01121,1.4776284435578915
01123,-0.6372039623545327
01125,1.9018176075589897
01127,-0.4783013324400423
01129,-0.5922626953633977
01131,-1.043778835010931
01133,1.4037081200970343
02013,-0.27475019163325387
02016,0.30379896444169324
02020,1.0426524851054797
02050,0.8181822271144331
02060,-0.974908996727945
02063,0.6222095581237216
02066,-0.5413978610761919
02068,2.179175413247117
02070,0.6410178781376672
02090,2.5002291689965026
02100,-0.6635749061784884
02105,-0.5129478748615655
02110,1.1044235972994842
02122,1.7426205880290955
02130,2.0485683388047855
02150,1.8930628271527323
02158,-0.3592455160465828
02164,0.6288694460605153
02170,1.0217577172375185
02180,-0.4834326893398714
02185,1.954055772718457
02188,0.6351377190697753
02195,-0.5668587219261384
02198,0.7756732755319499
02220,-0.4938099572037069
02230,1.9620971329369572
02240,1.3503260253248435
02275,-0.5196524663912808
02282,-0.5759146476568855
02290,-0.48545994716082025
