fips,pct_hispanic,pct_black,pct_asian,total_pop,median_hh_income,pct_poverty,pct_foreign_born,pop_density,rucc_code,urban_rural,rep_vote_share_2024,crime_rate_per_100k,in_border_zone
51131,0.6,1.4,2.0,12115,55933,17.1,1.8,57.224019184925226,8.0,rural,0.46905393457117595,437.47420553033425,1
51133,2.6,2.2,0.4,12085,69500,10.3,0.5,63.129613766586175,9.0,rural,0.6066339066339066,761.274306992139,1
51135,2.0,1.5,1.4,15597,62161,18.9,0.9,49.61040401933579,8.0,rural,0.612580834803057,410.33532089504394,0
51137,1.5,1.1,2.9,37208,94175,10.1,1.7,109.26978616261069,6.0,suburban,0.6245575823577457,497.204902171576,0
51139,0.8,0.4,0.7,23750,59396,9.5,0.5,76.60863482955396,8.0,rural,0.7728070845102679,391.57894736842104,0
51141,0.7,0.2,0.9,17606,50938,10.8,1.2,36.45478741121445,8.0,rural,0.8041943521594684,1221.174599568329,0
51143,0.8,0.4,0.7,60148,54115,15.0,0.5,62.07206143416796,4.0,suburban,0.7169188121147778,661.7011371949192,0
51145,1.1,0.4,0.9,31074,110667,3.3,1.4,119.4223905369114,1.0,urban,0.7223513461165989,691.896762566776,0
51147,0.9,0.7,2.2,21932,55082,21.6,0.7,62.67246978877141,6.0,suburban,0.513035082072739,565.3839139157395,0
51149,2.2,2.4,3.1,42873,88225,8.0,3.3,161.5764709735584,1.0,urban,0.6075034419458467,353.4704370179948,1
51153,1.9,2.1,19.5,484625,128873,6.1,3.2,1445.5429931430508,1.0,urban,0.40754797113825,353.4704370179948,0
51155,0.6,0.2,0.6,33771,60767,14.6,0.7,105.58753135533256,3.0,urban,0.7249743764947045,1131.1480264131949,0
51157,1.2,0.0,0.3,7409,98125,9.5,3.1,27.814460567474615,1.0,urban,0.5904895666131621,431.90713996490757,0
51159,3.1,0.2,1.7,9047,64184,9.3,0.0,47.24827807310287,9.0,rural,0.6520793036750484,298.4414723112634,1
51161,0.7,0.7,1.5,96793,82931,7.3,1.1,386.32592831181194,2.0,urban,0.6136323157482279,353.4704370179948,0
51163,1.2,0.2,0.5,22578,63975,8.0,0.9,37.84772559394754,6.0,suburban,0.6705733291099145,1040.8362122420053,0
51165,1.0,1.6,3.1,84739,78468,9.6,1.5,99.71717061247085,3.0,urban,0.6872139469085462,374.08985237021915,0
51167,0.8,0.0,0.4,25635,49020,18.1,0.2,54.136650249951856,8.0,rural,0.8388126159554731,830.8952603861908,0
51169,0.6,0.1,0.1,21504,45136,18.0,0.7,40.13233593889643,2.0,urban,0.8538958087098827,1357.8869047619048,0
51171,1.2,1.9,2.7,44630,64437,12.3,2.4,87.84061864315855,6.0,suburban,0.7134568361722409,477.257450145642,0
51173,0.6,0.3,0.3,29585,46859,16.5,0.6,65.53477810288634,7.0,rural,0.8042021499371772,463.0725029575799,0
51175,3.8,1.1,0.8,17988,68465,8.7,0.7,30.020241526464517,6.0,suburban,0.6284455374526079,1039.5819435179008,1
51177,1.3,2.0,7.4,143876,109576,7.0,2.3,357.9287083494213,1.0,urban,0.543332737167531,856.9879618560427,0
51179,1.5,1.9,9.1,160520,133792,5.1,3.2,596.274213237774,1.0,urban,0.4959556218078737,1027.9092947919262,0
51181,1.1,0.7,0.3,6552,71458,11.6,0.3,23.488126832968092,1.0,urban,0.5033097466331887,656.2881562881563,1
51183,1.1,0.6,0.4,10793,62821,12.1,0.8,22.016384932869524,1.0,urban,0.4776794898169101,1176.6885944593719,1
51185,0.6,0.2,0.5,39933,45788,19.3,0.4,76.97316512031615,7.0,rural,0.8465123347348159,728.7206070167531,0
51187,1.2,0.3,4.8,41104,84331,11.3,1.9,191.5629059368079,1.0,urban,0.6902734199910354,574.1533670688984,0
51191,0.6,0.3,0.4,53913,62774,11.0,0.5,96.06852166239587,2.0,urban,0.768296438224929,964.5169068684734,0
51193,0.8,1.6,0.8,18683,59766,13.8,0.6,81.46914859384928,8.0,rural,0.5720411663807891,444.25413477492907,1
51195,0.6,0.2,0.3,35727,50740,17.7,0.6,88.55596258100347,7.0,rural,0.8181055658738242,598.9867607131861,0
51197,0.6,0.2,0.3,28219,55359,15.6,0.4,61.08641736391337,6.0,suburban,0.7995698083691827,353.4704370179948,0
51199,1.4,2.8,1.5,70590,108326,5.4,3.6,674.2035192339505,1.0,urban,0.53108821569532,1517.2120696982574,1
51510,1.7,1.7,12.6,156788,113638,8.4,3.3,10497.79149278487,1.0,urban,0.20541064280068333,353.4704370179948,0
51520,0.8,0.2,0.9,17024,44706,18.3,0.3,1322.6438294697339,2.0,urban,0.6996499730748519,353.4704370179948,0
51530,8.1,0.0,0.5,6612,54458,22.0,0.3,1027.0018638550066,6.0,suburban,0.7262669521770164,353.4704370179948,0
51540,0.7,0.5,2.9,45863,69829,22.6,1.8,4476.486123430662,3.0,urban,0.1499365787516949,353.4704370179948,0
51550,1.5,1.9,2.8,251153,94189,8.7,2.4,742.0542192224444,1.0,urban,0.4807501448999198,353.4704370179948,1
51570,1.6,1.6,2.5,18210,76250,9.6,3.0,2421.710483559739,1.0,urban,0.6636209813874788,353.4704370179948,1
51580,0.8,0.3,1.6,5671,42724,23.6,0.5,1036.994240108722,6.0,suburban,0.667479674796748,353.4704370179948,0
51590,1.3,0.8,2.0,42239,42778,25.0,0.6,986.8326207861718,4.0,suburban,0.3937403620994917,353.4704370179948,0
51595,0.9,0.0,7.2,5633,49375,13.5,2.2,815.9132651299243,6.0,suburban,0.34396671289875175,353.4704370179948,1
51600,1.5,0.3,13.9,24478,132774,9.9,2.3,3922.1744024891477,1.0,urban,0.3284220169478586,353.4704370179948,0
51610,0.8,1.8,6.8,14593,154734,3.6,2.6,7130.910979349699,1.0,urban,0.1836734693877551,353.4704370179948,0
51620,3.8,0.3,0.2,8212,65125,16.7,0.7,992.1059367633045,6.0,suburban,0.3848761408083442,5053.580126643936,1
51630,2.3,1.1,8.0,28383,85368,16.4,2.3,2715.963838770947,1.0,urban,0.338368580060423,353.4704370179948,0
51640,1.0,0.0,4.8,6698,41438,23.4,0.5,813.2232206352901,6.0,suburban,0.7210077806595035,353.4704370179948,0
51650,2.6,2.2,2.4,137334,67758,13.0,2.3,2668.71584939071,1.0,urban,0.29774862325882734,353.4704370179948,1
51660,1.6,3.9,12.8,51492,59752,25.6,3.7,2970.3121448086235,3.0,urban,0.37061572129887027,353.4704370179948,0
51670,1.3,2.5,2.0,22944,48681,23.8,2.8,2215.877835330455,1.0,urban,0.430462090623598,353.4704370179948,1
51678,4.1,0.5,2.2,7420,89598,15.9,1.4,2968.903410505175,6.0,suburban,0.36460176991150445,353.4704370179948,0
51680,1.5,1.3,1.9,79255,59808,17.4,1.4,1618.2266192795873,2.0,urban,0.5401512224736464,353.4704370179948,0
51683,2.0,2.0,30.2,42674,117919,6.7,3.7,4335.467843940789,1.0,urban,0.42435424354243545,353.4704370179948,0
51685,3.6,1.0,37.9,16923,100668,5.8,3.8,5578.122944400721,1.0,urban,0.39759450171821303,353.4704370179948,0
51690,0.8,1.3,3.3,13584,42434,21.8,1.4,1239.9236983042044,4.0,suburban,0.3855098389982111,353.4704370179948,0
51700,1.2,3.2,2.8,184774,66718,15.1,3.2,2678.0424333412416,1.0,urban,0.3539045524049682,353.4704370179948,1
51710,1.7,1.9,4.0,235037,64017,17.3,2.1,4411.775023541356,1.0,urban,0.289107901041296,353.4704370179948,1
51720,2.1,0.0,0.0,3620,38497,25.7,1.9,484.1211008587847,7.0,rural,0.7193627450980392,353.4704370179948,0
51730,0.3,2.5,2.1,33365,50741,21.1,2.7,1468.4999793553413,1.0,urban,0.13172355080876094,353.4704370179948,1
51735,1.1,1.4,1.6,12556,120919,5.8,2.2,817.6231752487637,1.0,urban,0.7324157090541735,353.4704370179948,1
51740,2.6,1.8,1.5,97299,58972,17.6,1.4,2921.8376558084888,1.0,urban,0.3041105320090471,353.4704370179948,1
51750,1.2,1.5,1.2,16505,52791,33.7,0.9,1705.6986438145304,3.0,urban,0.4973553204729309,353.4704370179948,0
51760,1.3,1.1,6.8,227595,62671,18.8,1.6,3797.996774779589,1.0,urban,0.16114268422993636,11.863178013576748,1
51770,1.1,0.8,4.7,98677,52671,19.7,1.4,2320.653460265337,2.0,urban,0.38018976977169827,353.4704370179948,0
51775,0.8,0.6,1.7,25477,66716,10.9,0.8,1755.2051722358756,2.0,urban,0.5973396893741351,353.4704370179948,0
51790,1.2,1.3,1.8,25765,62586,12.6,1.0,1293.3922114614156,3.0,urban,0.4321615557217651,353.4704370179948,0
51800,1.6,1.7,1.7,96638,90089,9.9,2.0,242.0991345026298,1.0,urban,0.4195108994668842,353.4704370179948,1
51810,1.4,2.5,3.3,457066,90685,8.4,2.9,1867.7192365582648,1.0,urban,0.4865717323510701,353.4704370179948,1
51820,1.5,1.0,2.5,22574,56364,11.7,0.6,1507.969806531808,3.0,urban,0.5288617155187916,353.4704370179948,0
51830,1.2,2.5,4.2,15564,70206,14.1,2.6,1741.2948355011736,1.0,urban,0.27405587170201756,353.4704370179948,1
51840,1.2,0.8,10.8,27981,64648,19.3,2.9,3043.7622506104703,3.0,urban,0.4504674500385968,353.4704370179948,0
53001,4.5,0.3,3.5,20690,65042,20.5,0.4,10.748112876221578,6.0,suburban,0.7213711221754118,353.4704370179948,0
53003,3.1,0.1,1.5,22424,69107,14.9,0.8,35.253678188953344,3.0,urban,0.6317878405195743,374.5986443096682,0
53005,2.7,0.3,2.3,210224,87316,11.1,1.2,123.65190702837688,2.0,urban,0.6125986195829948,273.0420884389984,0
53007,2.6,0.1,3.2,79518,78306,9.0,1.1,27.221214891784054,3.0,urban,0.5486506378802748,347.091224628386,1
53009,7.7,0.3,1.4,77593,67999,10.8,1.4,44.62513695139355,5.0,suburban,0.45955132562882395,556.751253334708,1
53011,2.5,0.4,2.2,510516,94948,8.4,1.4,812.2775962148772,1.0,urban,0.46405742429005553,507.32983882973303,1
53013,7.1,0.1,0.7,3996,71528,9.0,0.7,4.60058610572486,8.0,rural,0.7243536280233528,925.9259259259259,0
53015,4.1,0.2,2.0,111539,72932,13.0,1.0,97.74187945876825,3.0,urban,0.6023865516941033,274.34350316929505,1
53017,2.3,0.1,1.2,43733,80374,7.9,1.0,24.039108207011235,3.0,urban,0.6386247256766642,448.1741476688085,1
53019,19.4,0.3,0.5,7326,54650,15.6,2.8,3.3251011843658214,8.0,rural,0.6697639377197389,353.4704370179948,1
53021,3.2,0.4,3.9,97676,82755,13.0,1.5,78.66972178495601,2.0,urban,0.6162738133677753,191.44928129735044,0
53023,0.9,0.0,0.5,2326,62411,10.8,1.8,3.2722067967385584,8.0,rural,0.7467382962394474,3181.4273430782464,0
53025,3.3,0.1,3.7,100428,71115,15.0,0.7,37.47946831198664,5.0,suburban,0.6924171695320506,792.6076393037797,1
53027,6.7,0.1,2.2,76397,63539,14.1,1.4,40.17801219816413,4.0,suburban,0.5310305249637909,346.8722593819129,1
53029,2.7,0.6,1.8,86747,88358,7.0,1.8,416.1056227372719,4.0,suburban,0.41467900795063484,523.361038422078,1
53031,4.3,0.1,1.3,33313,71143,12.6,1.9,18.468971918384245,6.0,suburban,0.26590421729807007,621.3790412151412,1
53033,2.3,0.4,3.0,2262713,122148,8.4,1.9,1069.4683332490515,1.0,urban,0.23247901224097736,170.76845362182476,1
53035,3.5,0.9,2.6,276581,98546,8.3,2.6,700.0078747075012,2.0,urban,0.3917486125017406,1054.6639140071081,1
53037,3.0,0.2,1.8,44736,69928,14.3,1.0,19.473536511419056,4.0,suburban,0.5753290119819289,431.41988555078683,1
53039,3.3,0.2,1.9,23082,70400,13.7,1.4,12.332523759723811,9.0,rural,0.5481481481481482,353.4704370179948,0
53041,3.6,0.7,1.9,83925,69690,13.0,1.0,34.92827045482669,4.0,suburban,0.6701405553651011,552.8745904081024,1
53043,3.7,0.1,1.0,11271,71227,10.4,0.9,4.877955048965365,8.0,rural,0.7585611510791367,869.4880667199006,1
53045,6.6,0.5,5.6,66968,78359,12.6,1.6,69.79080559146847,4.0,suburban,0.5129024956142832,1084.0998685939553,1
53047,13.2,0.4,0.7,42811,60293,18.5,1.1,8.129402353279474,6.0,suburban,0.5771439988012587,717.1054168321225,1
53049,4.1,0.3,1.4,23750,62350,11.6,1.1,25.44535051448627,7.0,rural,0.506685941452837,239.99999999999997,1
53051,4.1,0.0,1.1,13811,63750,13.6,0.7,9.863275738612652,8.0,rural,0.7030288403523591,1129.534429078271,1
53053,3.8,1.2,2.7,924106,96632,8.9,3.0,554.027437822341,1.0,urban,0.4445216043915033,759.5449006932105,1
53055,2.4,0.2,1.6,18266,83682,10.5,2.0,105.02875496152161,9.0,rural,0.23252071767640195,591.2624548341181,1
53057,3.7,0.5,2.4,130407,85474,11.6,1.4,75.36970380202186,3.0,urban,0.45429039736566207,476.96826090623966,1
53059,4.2,0.0,0.8,12276,90085,8.3,0.6,7.402904831546732,1.0,urban,0.5572594259988745,765.721733463669,1
53061,3.0,0.5,3.0,834648,107982,7.9,1.8,400.02022440219156,1.0,urban,0.40195033252795975,441.50348410347834,1
53063,3.4,0.5,1.5,544323,73513,12.2,1.3,308.533957047577,2.0,urban,0.5256328186878166,459.65355129215556,1
53065,7.2,0.2,0.8,47470,67405,12.9,1.0,19.16351769148087,2.0,urban,0.7264395516120787,640.4044659785128,1
53067,3.5,1.4,2.5,296640,93985,9.7,2.8,410.573728221072,2.0,urban,0.39432713919402324,349.9190938511327,1
53069,4.7,0.2,3.5,4573,57091,15.7,0.3,17.392584536032366,8.0,rural,0.5933806146572104,353.4704370179948,1
53071,3.1,0.6,3.7,62102,72212,11.7,2.5,48.89794221980275,3.0,urban,0.5414596599258275,227.04582783163184,0
53073,4.0,0.4,2.7,228432,80989,12.7,2.3,108.36694102072458,3.0,urban,0.3713964439882875,265.7245920011207,1
53075,2.6,0.3,2.2,47042,52893,23.7,2.0,21.786145809572226,4.0,suburban,0.4535690077689139,82.90463840823094,0
